water_depth_min,water_depth_max,wedge_slope,source_depth,profile,bottom_type,num_rays,len_slope,SLD_depth,SLD_avgrad,DC_axis,DC_top,DC_bott,DC_avgrad_top,DC_avgrad_bott,mean_SSP,stdev_SSP,mean_grad,stdev_grad,SSP_wmin,SSP_wmax,SSP_src,SSP_dcax,SSP_dcb,SSP_dct,SSP_sld
150,150,0,50,Mediterranean Sea Winter,2,2000,0.0,150.0,0.007538327777778652,,,,,,1512.5017275909088,0.4277611938528749,0.008055512727273569,0.004248912224123824,1513.331953,1513.331953,1512.465273,,,,1513.331953
150,150,0,70,Mediterranean Sea Winter,2,2000,0.0,150.0,0.007538327777778652,,,,,,1512.5017275909088,0.4277611938528749,0.008055512727273569,0.004248912224123824,1513.331953,1513.331953,1512.795898,,,,1513.331953
150,150,0,100,Mediterranean Sea Winter,2,2000,0.0,150.0,0.007538327777778652,,,,,,1512.5017275909088,0.4277611938528749,0.008055512727273569,0.004248912224123824,1513.331953,1513.331953,1512.945547,,,,1513.331953
150,1500,2,15,Mediterranean Sea Winter,1,500,38659.0,1500.0,0.0121055675000001,,,,,,1519.0803839342104,6.2927145197357985,0.012014897894736979,0.004265652646756704,1513.331953,1531.729727,1512.1807815,,,,1531.729727
150,1500,2,30,Mediterranean Sea Winter,1,500,38659.0,1500.0,0.0121055675000001,,,,,,1519.0803839342104,6.2927145197357985,0.012014897894736979,0.004265652646756704,1513.331953,1531.729727,1512.273516,,,,1531.729727
150,1500,2,50,Mediterranean Sea Winter,1,500,38659.0,1500.0,0.0121055675000001,,,,,,1519.0803839342104,6.2927145197357985,0.012014897894736979,0.004265652646756704,1513.331953,1531.729727,1512.465273,,,,1531.729727
150,1500,2,70,Mediterranean Sea Winter,1,500,38659.0,1500.0,0.0121055675000001,,,,,,1519.0803839342104,6.2927145197357985,0.012014897894736979,0.004265652646756704,1513.331953,1531.729727,1512.795898,,,,1531.729727
150,1500,2,100,Mediterranean Sea Winter,1,1500,38659.0,1500.0,0.0121055675000001,,,,,,1519.0803839342104,6.2927145197357985,0.012014897894736979,0.004265652646756704,1513.331953,1531.729727,1512.945547,,,,1531.729727
150,1500,2,150,Mediterranean Sea Winter,1,500,38659.0,1500.0,0.0121055675000001,,,,,,1519.0803839342104,6.2927145197357985,0.012014897894736979,0.004265652646756704,1513.331953,1531.729727,1513.331953,,,,1531.729727
150,1500,2,200,Mediterranean Sea Winter,1,500,38659.0,1500.0,0.0121055675000001,,,,,,1519.0803839342104,6.2927145197357985,0.012014897894736979,0.004265652646756704,1513.331953,1531.729727,1513.696211,,,,1531.729727
150,1500,2,300,Mediterranean Sea Winter,1,500,38659.0,1500.0,0.0121055675000001,,,,,,1519.0803839342104,6.2927145197357985,0.012014897894736979,0.004265652646756704,1513.331953,1531.729727,1514.516523,,,,1531.729727
150,1500,2,15,Mediterranean Sea Winter,2,500,38659.0,1500.0,0.0121055675000001,,,,,,1519.0803839342104,6.2927145197357985,0.012014897894736979,0.004265652646756704,1513.331953,1531.729727,1512.1807815,,,,1531.729727
150,1500,2,30,Mediterranean Sea Winter,2,500,38659.0,1500.0,0.0121055675000001,,,,,,1519.0803839342104,6.2927145197357985,0.012014897894736979,0.004265652646756704,1513.331953,1531.729727,1512.273516,,,,1531.729727
150,1500,2,50,Mediterranean Sea Winter,2,500,38659.0,1500.0,0.0121055675000001,,,,,,1519.0803839342104,6.2927145197357985,0.012014897894736979,0.004265652646756704,1513.331953,1531.729727,1512.465273,,,,1531.729727
150,1500,2,70,Mediterranean Sea Winter,2,500,38659.0,1500.0,0.0121055675000001,,,,,,1519.0803839342104,6.2927145197357985,0.012014897894736979,0.004265652646756704,1513.331953,1531.729727,1512.795898,,,,1531.729727
150,1500,2,100,Mediterranean Sea Winter,2,2000,38659.0,1500.0,0.0121055675000001,,,,,,1519.0803839342104,6.2927145197357985,0.012014897894736979,0.004265652646756704,1513.331953,1531.729727,1512.945547,,,,1531.729727
150,1500,2,150,Mediterranean Sea Winter,2,500,38659.0,1500.0,0.0121055675000001,,,,,,1519.0803839342104,6.2927145197357985,0.012014897894736979,0.004265652646756704,1513.331953,1531.729727,1513.331953,,,,1531.729727
150,1500,2,200,Mediterranean Sea Winter,2,500,38659.0,1500.0,0.0121055675000001,,,,,,1519.0803839342104,6.2927145197357985,0.012014897894736979,0.004265652646756704,1513.331953,1531.729727,1513.696211,,,,1531.729727
150,1500,2,300,Mediterranean Sea Winter,2,500,38659.0,1500.0,0.0121055675000001,,,,,,1519.0803839342104,6.2927145197357985,0.012014897894736979,0.004265652646756704,1513.331953,1531.729727,1514.516523,,,,1531.729727
250,1500,-2,15,Mediterranean Sea Winter,1,500,35795.0,1500.0,0.0121055675000001,,,,,,1519.0803839342104,6.2927145197357985,0.012014897894736979,0.004265652646756704,1514.141406,1531.729727,1512.1807815,,,,1531.729727
250,1500,-2,30,Mediterranean Sea Winter,1,500,35795.0,1500.0,0.0121055675000001,,,,,,1519.0803839342104,6.2927145197357985,0.012014897894736979,0.004265652646756704,1514.141406,1531.729727,1512.273516,,,,1531.729727
250,1500,-2,50,Mediterranean Sea Winter,1,500,35795.0,1500.0,0.0121055675000001,,,,,,1519.0803839342104,6.2927145197357985,0.012014897894736979,0.004265652646756704,1514.141406,1531.729727,1512.465273,,,,1531.729727
250,1500,-2,70,Mediterranean Sea Winter,1,500,35795.0,1500.0,0.0121055675000001,,,,,,1519.0803839342104,6.2927145197357985,0.012014897894736979,0.004265652646756704,1514.141406,1531.729727,1512.795898,,,,1531.729727
250,1500,-2,100,Mediterranean Sea Winter,1,500,35795.0,1500.0,0.0121055675000001,,,,,,1519.0803839342104,6.2927145197357985,0.012014897894736979,0.004265652646756704,1514.141406,1531.729727,1512.945547,,,,1531.729727
250,1500,-2,150,Mediterranean Sea Winter,1,500,35795.0,1500.0,0.0121055675000001,,,,,,1519.0803839342104,6.2927145197357985,0.012014897894736979,0.004265652646756704,1514.141406,1531.729727,1513.331953,,,,1531.729727
250,1500,-2,200,Mediterranean Sea Winter,1,500,35795.0,1500.0,0.0121055675000001,,,,,,1519.0803839342104,6.2927145197357985,0.012014897894736979,0.004265652646756704,1514.141406,1531.729727,1513.696211,,,,1531.729727
250,1500,-2,15,Mediterranean Sea Winter,2,500,35795.0,1500.0,0.0121055675000001,,,,,,1519.0803839342104,6.2927145197357985,0.012014897894736979,0.004265652646756704,1514.141406,1531.729727,1512.1807815,,,,1531.729727
250,1500,-2,30,Mediterranean Sea Winter,2,500,35795.0,1500.0,0.0121055675000001,,,,,,1519.0803839342104,6.2927145197357985,0.012014897894736979,0.004265652646756704,1514.141406,1531.729727,1512.273516,,,,1531.729727
250,1500,-2,50,Mediterranean Sea Winter,2,500,35795.0,1500.0,0.0121055675000001,,,,,,1519.0803839342104,6.2927145197357985,0.012014897894736979,0.004265652646756704,1514.141406,1531.729727,1512.465273,,,,1531.729727
250,1500,-2,70,Mediterranean Sea Winter,2,500,35795.0,1500.0,0.0121055675000001,,,,,,1519.0803839342104,6.2927145197357985,0.012014897894736979,0.004265652646756704,1514.141406,1531.729727,1512.795898,,,,1531.729727
250,1500,-2,100,Mediterranean Sea Winter,2,500,35795.0,1500.0,0.0121055675000001,,,,,,1519.0803839342104,6.2927145197357985,0.012014897894736979,0.004265652646756704,1514.141406,1531.729727,1512.945547,,,,1531.729727
250,1500,-2,150,Mediterranean Sea Winter,2,500,35795.0,1500.0,0.0121055675000001,,,,,,1519.0803839342104,6.2927145197357985,0.012014897894736979,0.004265652646756704,1514.141406,1531.729727,1513.331953,,,,1531.729727
250,1500,-2,200,Mediterranean Sea Winter,2,500,35795.0,1500.0,0.0121055675000001,,,,,,1519.0803839342104,6.2927145197357985,0.012014897894736979,0.004265652646756704,1514.141406,1531.729727,1513.696211,,,,1531.729727
250,250,0,15,Mediterranean Sea Winter,1,1500,0.0,250.0,0.007639455454545896,,,,,,1512.7197400384612,0.651048230147795,0.008061515384615865,0.003921327697503525,1514.141406,1514.141406,1512.1807815,,,,1514.141406
250,250,0,30,Mediterranean Sea Winter,1,1500,0.0,250.0,0.007639455454545896,,,,,,1512.7197400384612,0.651048230147795,0.008061515384615865,0.003921327697503525,1514.141406,1514.141406,1512.273516,,,,1514.141406
250,250,0,50,Mediterranean Sea Winter,1,1500,0.0,250.0,0.007639455454545896,,,,,,1512.7197400384612,0.651048230147795,0.008061515384615865,0.003921327697503525,1514.141406,1514.141406,1512.465273,,,,1514.141406
250,250,0,70,Mediterranean Sea Winter,1,1500,0.0,250.0,0.007639455454545896,,,,,,1512.7197400384612,0.651048230147795,0.008061515384615865,0.003921327697503525,1514.141406,1514.141406,1512.795898,,,,1514.141406
250,250,0,100,Mediterranean Sea Winter,1,1500,0.0,250.0,0.007639455454545896,,,,,,1512.7197400384612,0.651048230147795,0.008061515384615865,0.003921327697503525,1514.141406,1514.141406,1512.945547,,,,1514.141406
250,250,0,150,Mediterranean Sea Winter,1,1500,0.0,250.0,0.007639455454545896,,,,,,1512.7197400384612,0.651048230147795,0.008061515384615865,0.003921327697503525,1514.141406,1514.141406,1513.331953,,,,1514.141406
250,250,0,200,Mediterranean Sea Winter,1,1500,0.0,250.0,0.007639455454545896,,,,,,1512.7197400384612,0.651048230147795,0.008061515384615865,0.003921327697503525,1514.141406,1514.141406,1513.696211,,,,1514.141406
250,250,0,15,Mediterranean Sea Winter,2,1000,0.0,250.0,0.007639455454545896,,,,,,1512.7197400384612,0.651048230147795,0.008061515384615865,0.003921327697503525,1514.141406,1514.141406,1512.1807815,,,,1514.141406
250,250,0,30,Mediterranean Sea Winter,2,1000,0.0,250.0,0.007639455454545896,,,,,,1512.7197400384612,0.651048230147795,0.008061515384615865,0.003921327697503525,1514.141406,1514.141406,1512.273516,,,,1514.141406
250,250,0,50,Mediterranean Sea Winter,2,1500,0.0,250.0,0.007639455454545896,,,,,,1512.7197400384612,0.651048230147795,0.008061515384615865,0.003921327697503525,1514.141406,1514.141406,1512.465273,,,,1514.141406
250,250,0,70,Mediterranean Sea Winter,2,1500,0.0,250.0,0.007639455454545896,,,,,,1512.7197400384612,0.651048230147795,0.008061515384615865,0.003921327697503525,1514.141406,1514.141406,1512.795898,,,,1514.141406
250,250,0,100,Mediterranean Sea Winter,2,1500,0.0,250.0,0.007639455454545896,,,,,,1512.7197400384612,0.651048230147795,0.008061515384615865,0.003921327697503525,1514.141406,1514.141406,1512.945547,,,,1514.141406
250,250,0,150,Mediterranean Sea Winter,2,1000,0.0,250.0,0.007639455454545896,,,,,,1512.7197400384612,0.651048230147795,0.008061515384615865,0.003921327697503525,1514.141406,1514.141406,1513.331953,,,,1514.141406
250,250,0,200,Mediterranean Sea Winter,2,1500,0.0,250.0,0.007639455454545896,,,,,,1512.7197400384612,0.651048230147795,0.008061515384615865,0.003921327697503525,1514.141406,1514.141406,1513.696211,,,,1514.141406
250,1500,2,15,Mediterranean Sea Winter,1,1500,35795.0,1500.0,0.0121055675000001,,,,,,1519.0803839342104,6.2927145197357985,0.012014897894736979,0.004265652646756704,1514.141406,1531.729727,1512.1807815,,,,1531.729727
250,1500,2,30,Mediterranean Sea Winter,1,1000,35795.0,1500.0,0.0121055675000001,,,,,,1519.0803839342104,6.2927145197357985,0.012014897894736979,0.004265652646756704,1514.141406,1531.729727,1512.273516,,,,1531.729727
250,1500,2,50,Mediterranean Sea Winter,1,500,35795.0,1500.0,0.0121055675000001,,,,,,1519.0803839342104,6.2927145197357985,0.012014897894736979,0.004265652646756704,1514.141406,1531.729727,1512.465273,,,,1531.729727
250,1500,2,70,Mediterranean Sea Winter,1,1000,35795.0,1500.0,0.0121055675000001,,,,,,1519.0803839342104,6.2927145197357985,0.012014897894736979,0.004265652646756704,1514.141406,1531.729727,1512.795898,,,,1531.729727
250,1500,2,100,Mediterranean Sea Winter,1,1000,35795.0,1500.0,0.0121055675000001,,,,,,1519.0803839342104,6.2927145197357985,0.012014897894736979,0.004265652646756704,1514.141406,1531.729727,1512.945547,,,,1531.729727
250,1500,2,150,Mediterranean Sea Winter,1,1500,35795.0,1500.0,0.0121055675000001,,,,,,1519.0803839342104,6.2927145197357985,0.012014897894736979,0.004265652646756704,1514.141406,1531.729727,1513.331953,,,,1531.729727
250,1500,2,200,Mediterranean Sea Winter,1,1000,35795.0,1500.0,0.0121055675000001,,,,,,1519.0803839342104,6.2927145197357985,0.012014897894736979,0.004265652646756704,1514.141406,1531.729727,1513.696211,,,,1531.729727
250,1500,2,300,Mediterranean Sea Winter,1,500,35795.0,1500.0,0.0121055675000001,,,,,,1519.0803839342104,6.2927145197357985,0.012014897894736979,0.004265652646756704,1514.141406,1531.729727,1514.516523,,,,1531.729727
250,1500,2,15,Mediterranean Sea Winter,2,500,35795.0,1500.0,0.0121055675000001,,,,,,1519.0803839342104,6.2927145197357985,0.012014897894736979,0.004265652646756704,1514.141406,1531.729727,1512.1807815,,,,1531.729727
250,1500,2,30,Mediterranean Sea Winter,2,1000,35795.0,1500.0,0.0121055675000001,,,,,,1519.0803839342104,6.2927145197357985,0.012014897894736979,0.004265652646756704,1514.141406,1531.729727,1512.273516,,,,1531.729727
250,1500,2,50,Mediterranean Sea Winter,2,500,35795.0,1500.0,0.0121055675000001,,,,,,1519.0803839342104,6.2927145197357985,0.012014897894736979,0.004265652646756704,1514.141406,1531.729727,1512.465273,,,,1531.729727
250,1500,2,70,Mediterranean Sea Winter,2,1500,35795.0,1500.0,0.0121055675000001,,,,,,1519.0803839342104,6.2927145197357985,0.012014897894736979,0.004265652646756704,1514.141406,1531.729727,1512.795898,,,,1531.729727
250,1500,2,100,Mediterranean Sea Winter,2,1000,35795.0,1500.0,0.0121055675000001,,,,,,1519.0803839342104,6.2927145197357985,0.012014897894736979,0.004265652646756704,1514.141406,1531.729727,1512.945547,,,,1531.729727
250,1500,2,150,Mediterranean Sea Winter,2,2000,35795.0,1500.0,0.0121055675000001,,,,,,1519.0803839342104,6.2927145197357985,0.012014897894736979,0.004265652646756704,1514.141406,1531.729727,1513.331953,,,,1531.729727
250,1500,2,200,Mediterranean Sea Winter,2,500,35795.0,1500.0,0.0121055675000001,,,,,,1519.0803839342104,6.2927145197357985,0.012014897894736979,0.004265652646756704,1514.141406,1531.729727,1513.696211,,,,1531.729727
250,1500,2,300,Mediterranean Sea Winter,2,500,35795.0,1500.0,0.0121055675000001,,,,,,1519.0803839342104,6.2927145197357985,0.012014897894736979,0.004265652646756704,1514.141406,1531.729727,1514.516523,,,,1531.729727
350,1500,-2,15,Mediterranean Sea Winter,1,500,32932.0,1500.0,0.0121055675000001,,,,,,1519.0803839342104,6.2927145197357985,0.012014897894736979,0.004265652646756704,1515.0100585,1531.729727,1512.1807815,,,,1531.729727
350,1500,-2,30,Mediterranean Sea Winter,1,500,32932.0,1500.0,0.0121055675000001,,,,,,1519.0803839342104,6.2927145197357985,0.012014897894736979,0.004265652646756704,1515.0100585,1531.729727,1512.273516,,,,1531.729727
350,1500,-2,50,Mediterranean Sea Winter,1,500,32932.0,1500.0,0.0121055675000001,,,,,,1519.0803839342104,6.2927145197357985,0.012014897894736979,0.004265652646756704,1515.0100585,1531.729727,1512.465273,,,,1531.729727
350,1500,-2,70,Mediterranean Sea Winter,1,500,32932.0,1500.0,0.0121055675000001,,,,,,1519.0803839342104,6.2927145197357985,0.012014897894736979,0.004265652646756704,1515.0100585,1531.729727,1512.795898,,,,1531.729727
350,1500,-2,100,Mediterranean Sea Winter,1,500,32932.0,1500.0,0.0121055675000001,,,,,,1519.0803839342104,6.2927145197357985,0.012014897894736979,0.004265652646756704,1515.0100585,1531.729727,1512.945547,,,,1531.729727
350,1500,-2,150,Mediterranean Sea Winter,1,500,32932.0,1500.0,0.0121055675000001,,,,,,1519.0803839342104,6.2927145197357985,0.012014897894736979,0.004265652646756704,1515.0100585,1531.729727,1513.331953,,,,1531.729727
350,1500,-2,200,Mediterranean Sea Winter,1,500,32932.0,1500.0,0.0121055675000001,,,,,,1519.0803839342104,6.2927145197357985,0.012014897894736979,0.004265652646756704,1515.0100585,1531.729727,1513.696211,,,,1531.729727
350,1500,-2,300,Mediterranean Sea Winter,1,500,32932.0,1500.0,0.0121055675000001,,,,,,1519.0803839342104,6.2927145197357985,0.012014897894736979,0.004265652646756704,1515.0100585,1531.729727,1514.516523,,,,1531.729727
350,1500,-2,15,Mediterranean Sea Winter,2,500,32932.0,1500.0,0.0121055675000001,,,,,,1519.0803839342104,6.2927145197357985,0.012014897894736979,0.004265652646756704,1515.0100585,1531.729727,1512.1807815,,,,1531.729727
350,1500,-2,30,Mediterranean Sea Winter,2,500,32932.0,1500.0,0.0121055675000001,,,,,,1519.0803839342104,6.2927145197357985,0.012014897894736979,0.004265652646756704,1515.0100585,1531.729727,1512.273516,,,,1531.729727
350,1500,-2,50,Mediterranean Sea Winter,2,500,32932.0,1500.0,0.0121055675000001,,,,,,1519.0803839342104,6.2927145197357985,0.012014897894736979,0.004265652646756704,1515.0100585,1531.729727,1512.465273,,,,1531.729727
350,1500,-2,70,Mediterranean Sea Winter,2,500,32932.0,1500.0,0.0121055675000001,,,,,,1519.0803839342104,6.2927145197357985,0.012014897894736979,0.004265652646756704,1515.0100585,1531.729727,1512.795898,,,,1531.729727
350,1500,-2,100,Mediterranean Sea Winter,2,500,32932.0,1500.0,0.0121055675000001,,,,,,1519.0803839342104,6.2927145197357985,0.012014897894736979,0.004265652646756704,1515.0100585,1531.729727,1512.945547,,,,1531.729727
350,1500,-2,150,Mediterranean Sea Winter,2,500,32932.0,1500.0,0.0121055675000001,,,,,,1519.0803839342104,6.2927145197357985,0.012014897894736979,0.004265652646756704,1515.0100585,1531.729727,1513.331953,,,,1531.729727
350,1500,-2,200,Mediterranean Sea Winter,2,500,32932.0,1500.0,0.0121055675000001,,,,,,1519.0803839342104,6.2927145197357985,0.012014897894736979,0.004265652646756704,1515.0100585,1531.729727,1513.696211,,,,1531.729727
350,1500,-2,300,Mediterranean Sea Winter,2,500,32932.0,1500.0,0.0121055675000001,,,,,,1519.0803839342104,6.2927145197357985,0.012014897894736979,0.004265652646756704,1515.0100585,1531.729727,1514.516523,,,,1531.729727
